Order,Orden 
"Okay, so you want to clear your cart.","Muy bien, así que desea borrar su carro. "
"Okay, so you want to track your order.","Muy bien, así que desea rastrear su pedido. "
"Okay, so you want support.","Bueno, por lo que apoyo. "
"Okay, so you want to send us an email.","Muy bien, así que desea enviarnos un correo electrónico. "
"Okay, so you want to cancel.","Muy bien, así que desea cancelar. "
"Okay, so you want to help.","Muy bien, así que desea ayudar. "
"Okay, so you want to know more about us.","Bueno, por lo que usted quiere saber más sobre nosotros. "
"Okay, so you want to logout.","Muy bien, así que desea cerrar la sesión. "
"Okay, so you want to register to our store.","Muy bien, así que desea registrarse en nuestra tienda. "
use your Custom Key (%s) as your Verify Token,Utilice su clave personalizada (%s) como su símbolo verificar 
Receive Promotional Messages?,¿Recibir mensajes promocionales? 
One message sent.,Un mensaje enviado. 
%s messages sent.,%s mensajes. 
No customer available to receive this message.,Ningún cliente disponible para recibir este mensaje. 
Chatbot Settings,Configuración de Chatbot 
Your Secret Key,Su clave secreta 
Master Support Group,Grupo de apoyo del maestro 
Forward Fallback Messages to Support,Reenviar los mensajes de respaldo para soporte 
List Empty Categoies,Lista de categorías vacías 
Disable Promotional Messages,Desactivar mensajes promocionales 
Enable Log,Habilitar registro 
General Configuration,Configuración general 
***Still in Development***,Todavía en desarrollo *** 
Enable witAI Integration,Habilitar witAI integración 
Enable Confirmation Message,Activar mensaje de confirmación 
witAI API Key,witAI API Key 
Acceptable witAI Confidence Percentage,WitAI aceptable porcentaje de confianza 
Telegram Configurations,Configuraciones de telegrama 
Enable Telegram Bot,Habilitar Bot de telegrama 
Unavailability Message,Mensaje de falta de disponibilidad 
Telegram Bot API Key,Telegrama Bot API Key 
Enable Inline Search,Permitir la búsqueda en línea 
Enable Speech Recognition,Habilitar reconocimiento de voz 
Telegram Support Group ID,ID de grupo de apoyo de telegrama 
Telegram Welcome Message,Mensaje de bienvenida de telegrama 
Telegram Help Message,Mensaje de ayuda de telegrama 
Telegram About Message,Telegrama sobre el mensaje 
Enable Command Listing On Help,Habilitar comando listado en la ayuda 
Enable Command Listing On Error,Habilitar comando listado en caso de Error 
Commands List,Lista de comandos 
Enable Default Replies,Permitir respuestas de defecto 
Default Replies,Respuestas de defecto 
Fallback Message,Mensaje de suplencia 
Fallback Times,Tiempos de respaldo 
Facebook Messenger Configurations,Configuraciones de mensajería de Facebook 
Enable Messenger Bot,Activar el Bot de Messenger 
Page Access Token,Token de acceso de la página 
Messenger Support Chat ID,Messenger ayuda Chat ID 
Messenger Welcome Message,Mensaje de bienvenida del Messenger 
Messenger Help Message,Mensaje de ayuda de Messenger 
Messenger About Message,Mensajero mensaje 
Enable Command Prediction,Habilitar comando predicción 
Command,Comando 
Enable Command,Activar el comando 
Command Code,Código de comando 
Command Alias (Separated by Comma),Alias de comando (separados por comas) 
Match Mode,Modo de partido 
"Match Text, Regex or wit.ai entity","Coincidir con la entidad de texto, Regex o wit.ai "
Match Case,Caso de partido 
Stop Processing,Detener el procesamiento 
Similarity (%),Semejanza (%) 
Reply Mode,Modo de respuesta 
Reply Text,Texto de respuesta 
Command,Comando 
List Categories,Categorías de la lista 
Search For Product,Búsqueda de producto 
Login,Inicio de sesión 
List Orders,Lista de pedidos 
Reorder,Reordenar 
Add Product to Cart,Añadir producto a la cesta 
Checkout on Website,Verificación en sitio de Internet 
Clear Cart,Carro de claro 
Track Order Status,Estado de pedido de pista 
Talk to Support,Hable a soporte 
Send Email,Enviar correo electrónico 
Cancel,Cancelar 
Help,Ayuda 
About,Acerca de 
Logout,Cierre de sesión 
Register,Registro 
Similarity,Similitud 
Starts With,Se inicia con 
Ends With,Termina con 
Contains,Contiene 
Match RegEx,Match RegEx 
Equals to,Es igual a 
wit.ai,Wit.AI 
Disable,Desactivar 
Enable,Permiten 
Telegram Group,Grupo de telegrama 
Messenger Group,Grupo Mensajero 
Message us,El mensaje nos 
Enable Facebook Messenger Box,Casilla de mensajería de Facebook 
Facebook Messenger Box Size,Tamaño de la caja de Facebook Messenger 
Telegram Bot Username,Telegrama Bot Username 
Facebook Page Username,Página de Facebook Username 
Your order status is,Estado de tu pedido es 
Done. The bot will no longer send messages to this customer.,Hecho. El bot ya no enviará mensajes a este cliente. 
Done. The bot will now start sending messages to this customer.,Hecho. El bot ahora comenzará a enviar mensajes a este cliente. 
Bot respond is disabled for now because the customer is being replied by a human.,Responder bot está desactivado por ahora porque el cliente es ser respondido por un humano. 
Enable/Disable Bot Replies,Activar/desactivar el Bot respuestas 
List of all admin commands,Lista de todos los comandos de admin 
List all admin commands,Lista todos los comandos de admin 
Send message to all customers,Enviar mensaje a todos los clientes 
End support for customer,Fin de soporte para el cliente 
Block customer for entering support mode,Cliente de bloque para entrar en modo de compatibilidad 
Enable customer for entering support mode,Habilitar al cliente para entrar en modo de compatibilidad 
Disable bot responses,Desactivar las respuestas de bot 
Enable bot responses,Permitir respuestas de bot 
Enable Option to Disable Bot,Habilitar la opción para desactivar el Bot 
Hi,Hola 
Enable Referral,Permitir la remisión 
"If you want to reorder one of these orders, choose it below, or choose '%s' to list more orders.","Si desea ordenar uno de estos órdenes, seleccione lo siguiente, o '%s' más pedidos de la lista. "
Customer isn't on support.,Cliente no está en apoyo. 
